alfa,beta,po,time,distance
1.1,5.1,0.2,0.138435697555542,273.2
1.1,5.6,0.2,0.09134917259216309,286.0
1.1,6.1,0.2,0.043887758255004884,285.2
1.1,6.6,0.2,0.036702537536621095,278.4
1.1,7.1,0.2,0.1033285140991211,281.4
1.1,7.6,0.2,0.07322745323181153,277.2
1.1,8.1,0.2,0.03620781898498535,285.2
1.1,8.6,0.2,0.0856858730316162,260.2
1.1,9.1,0.2,0.129355525970459,265.0
1.1,9.6,0.2,0.0855743408203125,274.0
1.6,0.1,0.2,0.08193635940551758,286.6
1.6,0.6,0.2,0.0777010440826416,279.0
1.6,1.1,0.2,0.03937649726867676,285.0
1.6,1.6,0.2,0.06276965141296387,270.2
1.6,2.1,0.2,0.03998699188232422,281.0
1.6,2.6,0.2,0.06721930503845215,294.2
1.6,3.1,0.2,0.14017748832702637,282.6
1.6,3.6,0.2,0.06343812942504883,278.8
1.6,4.1,0.2,0.040098953247070315,272.0
1.6,4.6,0.2,0.07509517669677734,272.6
1.6,5.1,0.2,0.12707271575927734,272.8
1.6,5.6,0.2,0.07243404388427735,268.6
1.6,6.1,0.2,0.08725757598876953,287.8
1.6,6.6,0.2,0.10312433242797851,279.4
1.6,7.1,0.2,0.0861741542816162,280.6
1.6,7.6,0.2,0.084407377243042,289.6
1.6,8.1,0.2,0.04666914939880371,267.4
1.6,8.6,0.2,0.15202751159667968,260.0
1.6,9.1,0.2,0.11734790802001953,292.2
1.6,9.6,0.2,0.06411290168762207,285.0
2.1,0.1,0.2,0.05622830390930176,279.0
2.1,0.6,0.2,0.06818203926086426,275.8
2.1,1.1,0.2,0.05467634201049805,282.2
2.1,1.6,0.2,0.043411970138549805,284.6
2.1,2.1,0.2,0.06662125587463379,292.6
2.1,2.6,0.2,0.05484585762023926,275.4
2.1,3.1,0.2,0.08657207489013671,289.4
2.1,3.6,0.2,0.05406146049499512,280.0
2.1,4.1,0.2,0.03929457664489746,288.0
2.1,4.6,0.2,0.05106120109558106,280.8
2.1,5.1,0.2,0.05825076103210449,276.2
2.1,5.6,0.2,0.06702237129211426,268.4
2.1,6.1,0.2,0.09720320701599121,279.0
2.1,6.6,0.2,0.06691346168518067,282.4
2.1,7.1,0.2,0.047672700881958005,278.0
2.1,7.6,0.2,0.0748095989227295,271.6
2.1,8.1,0.2,0.04170770645141601,272.4
2.1,8.6,0.2,0.07444915771484376,286.8
2.1,9.1,0.2,0.1411909580230713,259.4
2.1,9.6,0.2,0.06473169326782227,281.4
2.6,0.1,0.2,0.06497702598571778,284.8
2.6,0.6,0.2,0.059628868103027345,290.6
2.6,1.1,0.2,0.16805787086486818,291.0
2.6,1.6,0.2,0.04987201690673828,280.0
2.6,2.1,0.2,0.08018569946289063,283.2
2.6,2.6,0.2,0.03451719284057617,265.0
2.6,3.1,0.2,0.09853219985961914,291.8
2.6,3.6,0.2,0.06146626472473145,290.4
2.6,4.1,0.2,0.06907124519348144,284.6
2.6,4.6,0.2,0.05089387893676758,280.6
2.6,5.1,0.2,0.045273113250732425,284.2
2.6,5.6,0.2,0.07442893981933593,281.6
2.6,6.1,0.2,0.07759504318237305,283.8
2.6,6.6,0.2,0.03789234161376953,274.4
2.6,7.1,0.2,0.05126852989196777,268.2
2.6,7.6,0.2,0.024939203262329103,286.4
2.6,8.1,0.2,0.08098607063293457,258.8
2.6,8.6,0.2,0.06423411369323731,274.6
2.6,9.1,0.2,0.03849716186523437,277.2
2.6,9.6,0.2,0.11489281654357911,280.4
3.1,0.1,0.2,0.10092401504516602,289.6
3.1,0.6,0.2,0.05589537620544434,286.6
3.1,1.1,0.2,0.06250367164611817,284.4
3.1,1.6,0.2,0.07373290061950684,294.4
3.1,2.1,0.2,0.05418186187744141,274.0
3.1,2.6,0.2,0.036302614212036136,289.2
3.1,3.1,0.2,0.11290526390075684,285.6
3.1,3.6,0.2,0.1603696823120117,284.6
3.1,4.1,0.2,0.1485018253326416,296.6
3.1,4.6,0.2,0.06434812545776367,287.0
3.1,5.1,0.2,0.10687170028686524,290.6
3.1,5.6,0.2,0.045269441604614255,284.4
3.1,6.1,0.2,0.07018308639526367,286.6
3.1,6.6,0.2,0.08318381309509278,283.0
3.1,7.1,0.2,0.1258634090423584,286.4
3.1,7.6,0.2,0.19747824668884278,264.8
